iter	RMSE
628	0.8303118536
629	0.830181315
630	0.8296761682
631	0.8276989989
632	0.8244485774
633	0.8226803467
634	0.8220707321
635	0.8204713013
636	0.8189252924
637	0.8172359885
638	0.8162884949
639	0.8161563288
640	0.8150734067
641	0.8140991537
642	0.8127817311
643	0.8116496887
644	0.8097730802
645	0.8077516006
646	0.8061308243
647	0.8032761964
648	0.8009523334
649	0.8007249196
650	0.7994946286
651	0.7987265006
652	0.796883419
653	0.7953678606
654	0.7931434497
655	0.7930134108
656	0.7912423812
657	0.7904593881
658	0.7890383161
659	0.7879073327
660	0.787753798
661	0.786019664
662	0.7855135443
663	0.7844048029
664	0.7835149786
665	0.7822836796
666	0.7819090652
667	0.7816913054
668	0.7800876691
669	0.7779584969
670	0.7774134466
671	0.7761055972
672	0.775986941
673	0.7745783761
674	0.7723890173
675	0.7707619741
676	0.7690158087
677	0.7687502143
678	0.7685519271
679	0.7664494019
680	0.7655058159
681	0.7641951361
682	0.7629897049
683	0.7614427059
684	0.7600094174
685	0.7580872527
686	0.75676318
687	0.7550199466
688	0.7527820029
689	0.751237405
690	0.7501311989
691	0.7495025706
692	0.7472416091
693	0.744982058
694	0.7447796994
695	0.7443656959
696	0.7431443767
697	0.7416260737
698	0.7405588311
699	0.7396996656
700	0.7379091281
701	0.7366982906
702	0.7350824336
703	0.7325356874
704	0.7323992083
705	0.7306655874
706	0.7291294886
707	0.7277124226
708	0.7272951392
709	0.7264193095
710	0.7254101814
711	0.7230515158
712	0.7228290522
713	0.7213971151
714	0.7205054295
715	0.7203745026
716	0.7184047238
717	0.7173429042
718	0.7157401247
719	0.7141766064
720	0.7132433704
721	0.7119118075
722	0.7099073638
723	0.7097067575
724	0.7087335565
725	0.7079011663
726	0.7075989464
727	0.707385885
728	0.7052918911
729	0.7040587612
730	0.7022202096
731	0.7003577154
732	0.6983427669
733	0.6980791748
734	0.6971868345
735	0.6963680651
736	0.6955839871
737	0.6938719788
738	0.6931267862
739	0.6916349397
740	0.6905722956
741	0.6891020996
742	0.6889667362
743	0.687892128
744	0.6875025488
745	0.6863189397
746	0.6848456551
747	0.6835289884
748	0.6819701983
749	0.6812170547
750	0.6801727697
751	0.6789208453
752	0.6785156206
753	0.6775582967
754	0.677456089
755	0.6764269231
756	0.6752619466
757	0.6741491531
758	0.6729053022
759	0.6724494585
760	0.6713431899
761	0.6698214997
762	0.6687603563
763	0.6686314349
764	0.6672955743
765	0.6671784221
766	0.6657248753
767	0.6654972996
768	0.6644384066
769	0.6633903881
770	0.6621762663
771	0.6614665642
772	0.6612306159
773	0.6600964538
774	0.6592431271
775	0.6579614739
776	0.6574762043
777	0.6560890276
778	0.6546379653
779	0.6532130046
780	0.6523232347
781	0.6502322511
782	0.649303792
783	0.6483064033
784	0.6481630334
785	0.6480481139
786	0.6471427508
787	0.6463336847
788	0.6450951416
789	0.6441859846
790	0.6427500521
791	0.6411935709
792	0.6394858054
793	0.6392136802
794	0.6386489189
795	0.6381684468
796	0.6373191537
797	0.6367692619
798	0.6353567206
799	0.6345331484
800	0.6332192809
801	0.6324505374
802	0.6311204679
803	0.6309179556
804	0.6301265645
805	0.6297160067
806	0.6288808157
807	0.6272500938
808	0.6267324237
809	0.6253117889
810	0.6247789326
811	0.6235848735
812	0.6223000439
813	0.6213233269
814	0.6198941117
815	0.6187047621
816	0.6177389896
817	0.6162729422
818	0.6159187237
819	0.6145728222
820	0.6133774513
821	0.6131239669
822	0.6118861033
823	0.6116774107
824	0.6107781102
825	0.6095546361
826	0.6089652099
827	0.607593071
828	0.6067623299
829	0.6064695328
830	0.6051170821
831	0.6049178397
832	0.6048321498
833	0.6032081552
834	0.6022830361
835	0.6017438216
836	0.6016010303
837	0.6014622111
838	0.6013753837
839	0.600919279
