iter	Passed	Remaining
663	4439	2246
664	4449	2241
665	4458	2235
666	4463	2228
667	4467	2220
668	4470	2211
669	4475	2204
670	4479	2196
671	4491	2192
672	4498	2185
673	4505	2179
674	4512	2172
675	4517	2165
676	4522	2157
677	4528	2150
678	4535	2144
679	4541	2137
680	4549	2130
681	4554	2123
682	4559	2116
683	4564	2108
684	4571	2102
685	4581	2097
686	4586	2089
687	4589	2081
688	4596	2074
689	4603	2068
690	4608	2060
691	4615	2054
692	4626	2049
693	4636	2044
694	4642	2037
695	4653	2032
696	4660	2025
697	4667	2019
698	4689	2019
699	4693	2011
700	4696	2003
701	4702	1996
702	4708	1989
703	4716	1983
704	4722	1976
705	4726	1968
706	4732	1961
707	4737	1953
708	4741	1945
709	4748	1939
710	4754	1932
711	4764	1927
712	4769	1919
713	4772	1911
714	4779	1904
715	4788	1899
716	4796	1893
717	4806	1887
718	4816	1882
719	4818	1873
720	4830	1869
721	4842	1864
722	4848	1857
723	4857	1851
724	4866	1845
725	4874	1839
726	4882	1833
727	4896	1829
728	4900	1821
729	4904	1813
730	4911	1807
731	4917	1800
732	4924	1793
733	4927	1785
734	4932	1778
735	4940	1772
736	4942	1763
737	4946	1756
738	4947	1747
739	4956	1741
740	4973	1738
741	4983	1732
742	4991	1726
743	5002	1721
744	5014	1716
745	5018	1708
746	5021	1700
747	5024	1692
748	5027	1684
749	5034	1678
750	5036	1670
751	5042	1663
752	5045	1654
753	5051	1648
754	5059	1641
755	5062	1633
756	5078	1630
757	5080	1622
758	5088	1615
759	5101	1611
760	5106	1603
761	5115	1597
762	5124	1591
763	5135	1586
764	5148	1581
765	5156	1575
766	5169	1570
767	5173	1562
768	5178	1555
769	5193	1551
770	5194	1542
771	5200	1535
772	5205	1528
773	5208	1520
774	5214	1513
775	5218	1506
776	5226	1500
777	5232	1493
778	5240	1486
779	5249	1480
780	5252	1472
781	5258	1465
782	5264	1458
783	5272	1452
784	5281	1446
785	5288	1439
786	5296	1433
787	5304	1427
788	5309	1419
789	5334	1418
790	5337	1410
791	5340	1402
792	5346	1395
793	5351	1388
794	5356	1381
795	5362	1374
796	5367	1367
797	5376	1360
798	5381	1353
799	5385	1346
800	5387	1338
801	5394	1331
802	5401	1325
803	5407	1318
804	5418	1312
805	5420	1304
806	5425	1297
807	5427	1289
808	5431	1282
809	5434	1274
810	5437	1267
811	5440	1259
812	5443	1252
813	5446	1244
814	5449	1236
815	5452	1229
816	5456	1222
817	5460	1214
818	5464	1207
819	5466	1199
820	5468	1192
821	5471	1184
822	5473	1177
823	5475	1169
824	5477	1161
825	5480	1154
826	5484	1147
827	5489	1140
828	5491	1132
829	5494	1125
830	5497	1118
831	5500	1110
832	5504	1103
833	5506	1095
834	5508	1088
835	5510	1081
836	5513	1073
837	5515	1066
838	5518	1058
839	5520	1051
840	5522	1044
841	5526	1036
842	5529	1029
843	5531	1022
844	5535	1015
845	5542	1008
846	5549	1002
847	5554	995
848	5557	988
849	5561	981
850	5563	974
851	5567	967
852	5570	959
853	5572	952
854	5575	945
855	5578	938
856	5581	931
857	5586	924
858	5589	917
859	5592	910
860	5595	903
861	5597	896
862	5600	888
863	5603	882
864	5606	875
865	5609	868
866	5611	860
867	5614	853
868	5616	846
869	5618	839
870	5621	832
871	5624	825
872	5626	818
873	5628	811
874	5630	804
875	5632	797
876	5634	790
877	5636	783
878	5639	776
879	5644	769
880	5647	762
881	5649	755
882	5653	749
883	5657	742
884	5660	735
885	5663	728
886	5666	721
887	5668	714
888	5671	708
889	5674	701
890	5676	694
891	5679	687
892	5683	681
893	5686	674
894	5689	667
895	5693	660
896	5697	654
897	5700	647
898	5704	640
899	5707	634
900	5711	627
901	5717	621
902	5722	614
903	5734	608
904	5735	602
905	5738	595
906	5741	588
907	5743	581
908	5744	575
909	5747	568
910	5751	561
911	5753	555
912	5754	548
913	5756	541
914	5758	534
915	5760	528
916	5763	521
917	5767	515
918	5769	508
919	5770	501
920	5772	495
921	5773	488
922	5775	481
923	5778	475
924	5781	468
925	5783	462
926	5785	455
927	5786	448
928	5788	442
929	5789	435
930	5791	429
931	5793	422
932	5795	416
933	5798	409
934	5800	403
935	5802	396
936	5803	390
937	5805	383
938	5808	377
939	5810	370
940	5812	364
941	5814	357
942	5817	351
943	5821	345
944	5827	339
945	5831	332
946	5837	326
947	5843	320
948	5855	314
949	5858	308
950	5862	302
951	5863	295
952	5865	289
953	5866	282
954	5868	276
955	5872	270
956	5883	264
957	5885	258
958	5888	251
959	5890	245
960	5893	239
961	5895	232
962	5896	226
963	5898	220
964	5900	213
965	5901	207
966	5903	201
967	5905	195
968	5907	188
969	5909	182
970	5911	176
971	5912	170
972	5914	164
973	5918	157
974	5921	151
975	5923	145
976	5925	139
977	5927	133
978	5929	127
979	5931	121
980	5932	114
981	5935	108
982	5937	102
983	5939	96
984	5942	90
985	5949	84
986	5953	78
987	5964	72
988	5967	66
989	5971	60
990	5972	54
991	5974	48
992	5975	42
993	5977	36
994	5980	30
995	5982	24
996	5985	18
997	5986	11
998	5988	5
999	5991	0
